student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA,will_graduate
25-2824,Business Intelligence & Analytics (BSBA‑BIA),2003-03-24,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,3.0,Yes
25-4257,Cybersecurity (BSCSEC),2006-04-15,Filipino,Single,Male,Mandaluyong,Paid,0,False,18,,3.0,Yes
25-2674,Business Intelligence & Analytics (BSBA‑BIA),2005-10-09,Filipino,Single,Male,Pasay,Paid,0,True,21,,3.0,Yes
25-6925,Human Resource Management (BSBA‑HRM),2000-11-08,Filipino,Married,Male,Taguig,Paid,0,False,21,,3.5,Yes
25-5374,Cybersecurity (BSCSEC),2001-10-21,Filipino,Single,Male,Navotas,With Balance,30971,False,18,,2.0,No
25-1916,Business Solutions & Applications (BSBA‑BSAA),2005-07-09,Filipino,Single,Female,Caloocan,Paid,0,False,24,advising,4.0,No
25-9830,Business Solutions & Applications (BSBA‑BSAA),2006-06-08,American,Single,Female,Makati,With Balance,15008,False,18,,3.5,Yes
25-2040,Human Resource Management (BSBA‑HRM),2007-09-09,Japanese,Single,Male,Imus,Paid,0,False,21,,3.5,Yes
25-5808,Human Resource Management (BSBA‑HRM),2004-09-25,Filipino,Single,Female,Bacoor,Paid,0,False,21,,3.0,Yes
25-9689,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-01-04,Filipino,Single,Female,San Juan,Paid,0,True,15,monitoring,2.0,No
25-9727,Cybersecurity (BSCSEC),2007-09-06,Filipino,Single,Female,Caloocan,With Balance,32605,False,18,,3.5,Yes
25-7118,Human Resource Management (BSBA‑HRM),2001-04-08,Filipino,Single,Male,Rodriguez,Paid,0,False,15,,2.0,No
25-6413,Business Intelligence & Analytics (BSBA‑BIA),2007-04-18,Filipino,Single,Female,San Juan,With Balance,16239,False,15,monitoring,3.5,No
25-7735,Human Resource Management (BSBA‑HRM),2001-01-13,Filipino,Single,Male,San Juan,Paid,0,False,18,,3.5,Yes
25-5092,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-01-21,American,Single,Male,San Juan,Paid,0,False,18,,2.0,No
25-3697,Human Resource Management (BSBA‑HRM),2004-08-10,Filipino,Single,Female,Pasig,Paid,0,False,15,,3.0,Yes
25-6138,Business Intelligence & Analytics (BSBA‑BIA),2002-01-17,Filipino,Single,Male,Imus,Paid,0,False,18,,4.0,Yes
25-2343,Human Resource Management (BSBA‑HRM),2005-05-07,Filipino,Single,Female,Pasay,Paid,0,False,24,,3.0,Yes
25-2188,Business Intelligence & Analytics (BSBA‑BIA),2001-02-18,Filipino,Single,Female,Makati,Paid,0,False,18,,3.0,Yes
25-5956,Information Systems (BS‑IS),2000-11-27,Filipino,Single,Male,Pasig,With Balance,34327,False,18,,3.0,Yes
25-6617,Business Solutions & Applications (BSBA‑BSAA),2004-09-16,Filipino,Single,Male,Makati,With Balance,11444,False,15,,4.0,Yes
25-5291,Business Intelligence & Analytics (BSBA‑BIA),2006-09-01,Filipino,Single,Male,San Mateo,Paid,0,True,21,,4.0,Yes
25-3088,Business Intelligence & Analytics (BSBA‑BIA),2000-06-07,Filipino,Single,Female,San Mateo,Paid,0,False,18,,4.0,Yes
25-3662,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-01-06,Filipino,Single,Female,Imus,With Balance,18742,False,18,,4.0,Yes
25-1634,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-06-10,Filipino,Single,Male,Manila,Paid,0,False,21,,1.0,No
25-5573,Human Resource Management (BSBA‑HRM),2005-01-04,Filipino,Single,Female,Quezon City,Paid,0,False,21,,1.0,No
25-2894,Human Resource Management (BSBA‑HRM),2004-01-23,Filipino,Single,Male,Parañaque,With Balance,20819,False,21,,4.0,Yes
25-5920,Human Resource Management (BSBA‑HRM),2005-07-23,Filipino,Single,Female,Imus,Paid,0,False,18,,3.5,Yes
25-9977,Cybersecurity (BSCSEC),2003-07-26,Filipino,Single,Female,Navotas,Paid,0,False,24,,1.0,No
25-3780,Information Systems (BS‑IS),2005-02-27,Chinese,Single,Female,San Juan,Paid,0,False,15,,3.5,Yes
25-2193,Human Resource Management (BSBA‑HRM),2003-12-23,Filipino,Single,Male,Bacoor,With Balance,38194,False,15,,4.0,Yes
25-9486,Human Resource Management (BSBA‑HRM),2001-08-05,Filipino,Single,Female,Navotas,With Balance,26540,False,24,,3.0,Yes
25-3607,Cybersecurity (BSCSEC),2004-04-27,Filipino,Single,Female,Bacoor,Paid,0,False,21,,3.5,Yes
25-9849,Business Intelligence & Analytics (BSBA‑BIA),2006-12-05,Filipino,Single,Female,Muntinlupa,Paid,0,False,18,,3.5,Yes
25-1320,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-08-01,Filipino,Single,Female,Valenzuela,With Balance,36210,False,18,,3.5,Yes
25-8956,Business Intelligence & Analytics (BSBA‑BIA),2006-12-06,Filipino,Single,Male,Pasay,Paid,0,False,15,,4.0,Yes
25-8564,Business Intelligence & Analytics (BSBA‑BIA),2005-04-15,Filipino,Single,Female,Marikina,With Balance,18266,False,15,,3.0,Yes
25-1853,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-11-02,Filipino,Single,Male,Manila,Paid,0,False,24,,3.0,Yes
25-4571,Human Resource Management (BSBA‑HRM),2005-03-20,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,,3.0,Yes
25-7149,Human Resource Management (BSBA‑HRM),2001-10-23,Filipino,Single,Female,Imus,Paid,0,False,15,,3.5,Yes
25-7071,Business Intelligence & Analytics (BSBA‑BIA),2000-07-27,Filipino,Single,Female,Bacoor,Paid,0,False,18,,3.0,Yes
25-5425,Information Systems (BS‑IS),2007-08-14,Filipino,Single,Female,San Juan,Paid,0,False,24,,3.5,Yes
25-7209,Business Solutions & Applications (BSBA‑BSAA),2005-03-16,Filipino,Single,Female,Marikina,With Balance,19052,False,15,,4.0,Yes
25-4954,Cybersecurity (BSCSEC),2003-12-16,Filipino,Single,Male,Makati,Paid,0,False,18,,3.0,Yes
25-8753,Human Resource Management (BSBA‑HRM),2005-06-23,Filipino,Single,Male,Taguig,Paid,0,False,18,,3.0,Yes
25-5530,Cybersecurity (BSCSEC),2004-02-27,Filipino,Single,Male,Las Piñas,Paid,0,True,18,,1.0,Yes
25-5786,Information Systems (BS‑IS),2007-02-28,Filipino,Single,Female,Navotas,With Balance,18273,False,24,advising,3.5,No
25-2213,Human Resource Management (BSBA‑HRM),2002-03-26,Filipino,Single,Male,Taguig,Paid,0,False,18,,3.5,Yes
25-8253,Business Solutions & Applications (BSBA‑BSAA),2006-05-19,Filipino,Single,Male,Caloocan,Paid,0,False,15,,4.0,Yes
25-2229,Business Intelligence & Analytics (BSBA‑BIA),2007-05-02,Filipino,Single,Female,Makati,With Balance,35815,False,18,,3.0,Yes
25-3441,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-01-06,Filipino,Single,Female,Navotas,Paid,0,False,24,,3.0,Yes
25-9090,Human Resource Management (BSBA‑HRM),2006-12-11,Filipino,Single,Male,Imus,Paid,0,False,15,,3.0,Yes
25-5415,Human Resource Management (BSBA‑HRM),2002-08-17,Filipino,Single,Male,Rodriguez,With Balance,12989,False,24,,3.5,Yes
25-2713,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-05-22,Filipino,Single,Male,Navotas,Paid,0,True,21,,1.0,Yes
25-7622,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-11-28,Filipino,Single,Male,Antipolo,With Balance,30493,False,24,,4.0,Yes
25-9998,Business Intelligence & Analytics (BSBA‑BIA),2007-02-01,Japanese,Single,Male,Mandaluyong,Paid,0,False,24,advising,3.5,No
25-2924,Information Systems (BS‑IS),2004-09-23,Filipino,Single,Female,San Juan,Paid,0,False,18,,3.0,Yes
25-3236,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-06-26,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.5,Yes
25-8935,Business Solutions & Applications (BSBA‑BSAA),2006-08-11,Filipino,Married,Male,Rodriguez,With Balance,23460,False,15,,3.5,Yes
25-7246,Human Resource Management (BSBA‑HRM),2002-08-02,Filipino,Single,Female,Taguig,Paid,0,False,24,advising,3.5,No
25-3529,Business Intelligence & Analytics (BSBA‑BIA),2004-06-20,Filipino,Single,Female,Imus,Paid,0,False,21,,2.0,No
25-8994,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-04-21,Filipino,Single,Male,Makati,Paid,0,False,15,,3.0,Yes
25-1474,Business Intelligence & Analytics (BSBA‑BIA),2004-06-12,Filipino,Single,Female,Rodriguez,Paid,0,False,18,monitoring,3.0,No
25-4945,Human Resource Management (BSBA‑HRM),2003-08-21,Filipino,Single,Male,Navotas,Paid,0,False,18,monitoring,1.0,No
25-5901,Information Systems (BS‑IS),2004-08-28,Filipino,Married,Female,Taguig,Paid,0,False,21,,3.5,Yes
25-7484,Business Solutions & Applications (BSBA‑BSAA),2000-10-24,Filipino,Single,Female,San Juan,Paid,0,False,18,,3.0,Yes
25-3240,Information Systems (BS‑IS),2000-05-26,Filipino,Single,Male,Makati,Paid,0,False,24,,4.0,Yes
25-9837,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-03-09,Filipino,Single,Female,Muntinlupa,Paid,0,False,15,advising,2.0,No
25-7511,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-02-26,Filipino,Single,Male,Navotas,With Balance,18590,False,24,,2.0,No
